id,nama_usaha,email_usaha,kategori,belum_online,tgl_dibentuk,omset_2020,omset_2021,provinsi
39,CV Novitasari,lailasari.ilyas@budiman.asia,kuliner,1,2014-11-23,29.98970168392906,46.69968282228434,jawa_barat
40,UD Farida Nuraini ,dian59@nashiruddin.asia,fashion,0,2003-03-24,23.40816111434399,39.57436531637026,DKI_jakarta
41,PD Pangestu Nuraini,mahmud.tampubolon@usamah.desa.id,agribisnis,0,2005-01-10,7.053241079527246,23.618457528271517,jawa_tengah
42,PD Andriani ,jessica.simbolon@usamah.info,fashion,1,2012-08-14,3.757118102407344,25.326499417472554,DKI_jakarta
43,UD Wahyuni,salimah.handayani@januar.co,pengrajin_kulit,1,2014-01-14,25.377562591202313,27.570315534578427,jawa_barat
44,UD Mardhiyah,hana.hastuti@yulianti.co,fashion,1,2002-07-07,3.0196516129779836,8.182003376068261,jawa_barat
45,PT Sant,ina.pratiwi@anggraini.tv,fashion,1,2010-09-04,13.0195040876836,13.058756541226085,DKI_jakarta
46,UD Riyanti,xsamosir@pratama.co.id,kuliner,0,2007-08-31,51.23551714769732,51.094210410486966,jawa_barat
47,UD Mayasari,hassanah.tomi@hutasoit.name,agribisnis,1,2010-07-15,50.06846957247538,28.287523462727624,jawa_timur
48,UD Usada Susanti  ,daliman31@firgantoro.org,agribisnis,0,2020-02-17,52.15026878731009,16.36872104640661,jawa_barat
49,PT Prastuti Handayani ,oliva.wijayanti@handayani.asia,agribisnis,1,2001-08-10,23.37521852475495,40.13927219405125,jawa_timur
50,PT Farida Sihombing ,margana02@kusumo.tv,kuliner,1,2020-11-27,62.49052853199625,53.308239960085615,jawa_timur
51,UD Budiman,vnasyidah@nainggolan.or.id,pengrajin_kulit,1,2009-06-10,42.266749819382404,19.29679890094196,jawa_barat
52, Prastuti,kala45@jailani.co.id,kuliner,1,2016-03-19,10.32507861445966,58.17321313775327,jawa_tengah
53,PT Lailasari ,halima.palastri@wahyuni.desa.id,pengrajin_kulit,1,2008-11-30,11.533110204183872,65.0500318151984,jawa_tengah
54,PT Laksmiwati Handayani ,zaenab.wacana@wahyudin.biz,pengrajin_kulit,1,2006-07-13,49.04455575076002,42.510098445161844,jawa_barat
55,PT Marpaung,wahyudin.cornelia@suwarno.my.id,fashion,1,2016-03-08,13.52861198026509,47.395746155945055,jawa_barat
56,UD Pertiwi Halimah,genta09@prakasa.my.id,pengrajin_kulit,0,2014-06-11,36.35794566402192,5.3098886192582215,jawa_timur
57,PT Prasasta Wastuti,rudi.pradana@sinaga.mil.id,agribisnis,0,2003-01-10,69.43836121641236,66.28009815897578,jawa_tengah
58,PD Laksmiwati Narpati  ,laksmiwati.ratna@suryono.com,fashion,0,2014-10-25,1.993639251192421,28.51885765561036,jawa_timur
59,PD Januar Prasetya ,manullang.unjani@prastuti.co.id,agribisnis,1,2015-10-25,2.8520688735651865,64.80391934924195,jawa_tengah
60,CV Sihotang Sihotang,wharyanti@salahudin.mil.id,agribisnis,0,2008-02-23,69.52781525421499,41.25258538994656,jawa_tengah
61,CV Nurdiyanti ,rwasita@suartini.net,fashion,0,2019-06-10,41.63913959468082,2.0353715850224092,DKI_jakarta
62,PT Handayani,kuswandari.gilda@suartini.ac.id,agribisnis,0,2013-06-17,10.385413128404076,4.351647713804191,jawa_barat
63, Wibisono  ,zulfa99@susanti.net,kuliner,1,2007-01-03,62.98779419920952,48.17899605114227,jawa_tengah
64,PD Siregar Andriani  ,fathonah63@hartati.asia,agribisnis,1,2000-03-23,61.832366892718824,40.13897198444439,DKI_jakarta
65,PT Hartati  ,karimah.puspasari@mustofa.in,fashion,1,2014-03-05,38.3317642072447,3.531634812430756,DKI_jakarta
66,PD Astuti,wakiman.rahayu@palastri.tv,kuliner,0,2004-05-22,44.17595979889246,52.48344615226447,jawa_tengah
67,CV Hakim Wijayanti,latupono.kunthara@halim.name,agribisnis,0,2015-11-21,20.373221435679834,59.90448361508373,jawa_tengah
68, Gunawan ,xpermata@anggriawan.biz,kuliner,0,2011-01-10,5.169484868280512,35.61538570095597,jawa_timur
69,PT Nasyiah Permata,harsana13@usamah.name,pengrajin_kulit,0,2009-10-20,42.317076335068215,33.52191802759337,jawa_tengah
70,PT Prasetya,luwes63@yuliarti.info,agribisnis,0,2003-06-10,21.84588459188466,2.0937038712283647,jawa_tengah
71,PT Habibi Ramadan ,hhariyah@nainggolan.in,agribisnis,1,2014-12-10,47.03204506596883,55.43244236906296,jawa_timur
72,UD Sitoru,imarpaung@susanti.in,kuliner,1,2003-06-26,58.81882067481281,24.301293037424077,jawa_barat
73,PD Suryatmi Kusum,azalea.simbolon@lestari.biz.id,pengrajin_kulit,1,2008-10-09,2.960001938472778,61.7219799587518,jawa_tengah
74,UD Yulianti,dwulandari@saputra.ac.id,pengrajin_kulit,0,2017-07-25,42.39533653554147,27.19257691846386,jawa_timur
75,CV Pradana  ,ghani64@prasetyo.mil.id,fashion,0,2019-05-01,17.511835249818272,40.303519737864576,jawa_barat
76,UD Nasyiah Saefullah ,padma93@rahayu.name,agribisnis,1,2020-10-09,61.38910663687156,20.178937298250084,DKI_jakarta
77,PT Samosir ,vanesa60@wasita.mil.id,kuliner,0,2020-02-13,19.040212508041648,12.684969983298249,DKI_jakarta
78,PD Oktaviani,vivi51@zulaika.info,fashion,0,2011-09-04,43.42338469731436,54.630711642877074,jawa_tengah
79,PD Nuraini,nadia38@najmudin.in,pengrajin_kulit,0,2004-03-17,39.51576856131867,35.62719789562411,jawa_timur
80,PD Uyainah,gilda52@iswahyudi.net,pengrajin_kulit,1,2017-08-15,28.770248624045514,38.35139543380368,jawa_barat
81, Waskita,ikhsan.nasyidah@latupono.desa.id,kuliner,1,2016-11-01,47.987945738593936,67.6386013037329,jawa_tengah
82, Widod,lurhur84@permata.name,agribisnis,0,2020-10-18,51.27555065836982,67.51323640652865,DKI_jakarta
83,CV Sudiati  ,edi87@widiastuti.org,fashion,1,2013-09-02,40.43051266440773,60.14324406984011,jawa_timur
84,CV Novitasari,aris.melani@susanti.go.id,fashion,1,2002-12-22,53.50507035497501,14.529962509996494,jawa_barat
85,PT Riyanti Prayoga  ,tantri.riyanti@anggraini.net,agribisnis,1,2010-07-24,68.86771794879778,42.296939566911874,jawa_barat
86,PT Mandala Permata ,adika35@padmasari.or.id,fashion,1,2009-05-31,30.347918645866972,61.6799061554801,DKI_jakarta
87,UD Wibisono Dabukke ,mgunarto@rahimah.mil.id,fashion,0,2017-09-14,36.85573078274405,27.288397580733466,jawa_barat
88,PD Hardiansyah Waskita  ,zelda37@wahyuni.info,agribisnis,1,2008-03-30,2.5714432658260398,8.623529010081741,DKI_jakarta
89,CV Situmorang  ,kani38@utama.com,fashion,0,2006-11-25,56.072829824872635,57.09254696494186,jawa_barat
90,PT Permadi,wnamaga@mustofa.or.id,agribisnis,1,2001-09-06,37.24130897790046,34.61481528700908,DKI_jakarta
91,CV Saefullah ,hesti.suryatmi@winarsih.info,kuliner,1,2017-07-18,29.57560646501939,40.25673221492471,jawa_timur
92,CV Novitasari ,syahrini80@hartati.com,pengrajin_kulit,1,2015-11-12,8.143233639743945,68.78081255258242,DKI_jakarta
93,UD Novitasari,wfirgantoro@rahayu.info,pengrajin_kulit,1,2000-11-12,62.46574047199613,43.18039647413524,jawa_tengah
94, Sitompul Prayoga,zulfa.laksmiwati@laksita.asia,kuliner,1,2009-02-09,28.69109434996919,30.7375924532814,jawa_timur
95,PT Hardiansyah  ,bharyanto@rahayu.web.id,fashion,1,2010-01-27,48.326671525725565,26.982532636606663,jawa_barat
96,PD Latupono Pradipta,uhandayani@puspita.desa.id,kuliner,1,2009-11-09,11.919267396817336,30.235045302418236,DKI_jakarta
97,CV Nugroho Pradana ,cinthia.hardiansyah@wibowo.com,fashion,1,2019-04-20,67.3746087050617,9.804289399439504,DKI_jakarta
98,UD Hassanah ,ulaksmiwati@sitorus.ac.id,kuliner,0,2003-03-01,13.904003497194616,55.9855681287518,DKI_jakarta
99,UD Usada,drajat12@lailasari.biz,fashion,1,2006-06-07,15.344727275177204,58.91930707701117,DKI_jakarta
100,PD Nurdiyanti Natsi,rahman.saptono@puspasari.desa.id,fashion,1,2003-10-19,60.371349718880694,21.138636348672357,DKI_jakarta
101,PD Farida  ,sitorus.lasmono@padmasari.my.id,fashion,0,2005-02-15,64.03114977001107,22.463233105030984,DKI_jakarta
102,PT Safitri  ,jailani.limar@yuliarti.co.id,pengrajin_kulit,1,2019-01-19,16.20542498569102,61.41954302254105,jawa_timur
103,UD Namaga  ,gagustina@najmudin.name,agribisnis,1,2019-10-04,33.79800464457725,3.3566958754487985,jawa_tengah
104,UD Wulandari Salahudin,rika.saputra@mardhiyah.co,pengrajin_kulit,1,2000-12-08,51.80303208355002,37.25683426042631,jawa_barat
105,PT Firgantoro  ,utami.jamalia@nasyidah.org,agribisnis,1,2013-04-10,61.694812304601534,33.37977779845289,jawa_timur
106,PD Nababan Budiyanto ,zharyanto@usamah.org,fashion,0,2004-11-21,27.6017180171472,48.84185582681723,jawa_barat
107, Permadi Firmansyah,dsamosir@purnawati.go.id,pengrajin_kulit,1,2004-01-17,37.02209056207903,12.876385286204753,jawa_barat
108,CV Mustofa Lestari  ,aryani.marsudi@farida.com,agribisnis,0,2006-02-18,52.3643965102875,47.353622981493096,jawa_timur
109,UD Mayasari Hakim,shutapea@sitorus.name,pengrajin_kulit,1,2004-01-31,51.64196448585287,27.443398057696562,jawa_tengah
110, Thamrin,dhutagalung@hakim.ac.id,pengrajin_kulit,1,2010-04-18,55.180517678181076,43.96584505342316,jawa_timur
111,UD Pradipta Setiawan,maulana.embuh@marpaung.go.id,kuliner,0,2020-11-28,40.63508113684342,4.45768727411314,jawa_barat
112,PD Prasetyo  ,puji66@yulianti.info,kuliner,0,2012-04-25,8.863118809830052,33.2467330237583,jawa_barat
113,CV Melani Prasasta,asaragih@uwais.my.id,kuliner,0,2015-03-10,63.44329630115257,37.37929104111637,jawa_tengah
114,CV Thamrin Zulaika ,kuswoyo.prabu@wibowo.co.id,kuliner,0,2010-05-12,60.8212929848398,16.354206786938487,DKI_jakarta
115, Sihombing Simbolon,kartika49@pradipta.co,agribisnis,0,2000-04-16,56.21409291767578,11.253503107350362,jawa_tengah
116,PT Mardhiyah ,ogunarto@adriansyah.desa.id,pengrajin_kulit,0,2001-10-07,8.53860994053461,14.58902540967994,jawa_timur
117, Yulianti ,fujiati.yessi@tarihoran.co,pengrajin_kulit,0,2005-08-24,15.676252224319986,25.217952810165404,jawa_tengah
118,PT Prayoga ,enteng77@wahyuni.com,agribisnis,0,2005-02-12,52.49303292955047,8.330196994543451,jawa_tengah
119,CV Maryati  ,kpertiwi@aryani.info,fashion,1,2017-08-27,3.3000056580553023,66.40299565241739,jawa_barat
120, Saptono Usada ,wijaya.ajeng@hasanah.com,pengrajin_kulit,0,2017-09-19,68.58145798953305,29.372994518934405,DKI_jakarta
121,PD Nababan  ,epermata@usamah.name,kuliner,0,2017-12-08,27.47143877468588,56.95644445916082,jawa_timur
122,CV Tampubolon Laksita ,jefri36@wijayanti.biz.id,fashion,0,2013-05-22,50.83465980040943,68.25320116587206,jawa_tengah
123,CV Iswahyudi Maryati,latupono.belinda@handayani.my.id,pengrajin_kulit,1,2011-09-06,62.3233539219636,7.232604918587026,jawa_tengah
124,PD Thamrin Mansu,pangestu.ridwan@samosir.org,pengrajin_kulit,0,2013-08-19,28.665328762887615,46.21599127060139,jawa_barat
125,PT Handayani ,artawan87@puspita.web.id,pengrajin_kulit,1,2008-07-17,23.510366321585195,61.21981244269009,DKI_jakarta
126,CV Kurniawan Saefullah  ,karimah72@adriansyah.info,pengrajin_kulit,0,2014-01-28,43.28484428117228,45.025527151248205,jawa_barat
127, Mansur Simbolon ,mpratama@fujiati.co,kuliner,0,2016-09-07,41.3899544395169,31.01390356628414,jawa_timur
128,PD Halimah Salahudin  ,gatot16@simanjuntak.info,pengrajin_kulit,0,2016-01-09,29.656077672221148,31.153893699518424,DKI_jakarta
129, Usamah Mulyani  ,habibi.setya@puspasari.co.id,fashion,0,2012-11-21,42.80918033064713,4.1711759365824665,DKI_jakarta
130,CV Kusmawati Firgant,carla72@samosir.mil.id,agribisnis,1,2001-03-21,65.58783991400027,38.22253929803172,jawa_tengah
131,PD Susanti Hassanah,pratiwi.wawan@yuniar.or.id,pengrajin_kulit,0,2015-03-24,33.650476722464006,69.55911582060594,jawa_tengah
132,PT Yuliarti Mustofa,upratama@mahendra.co.id,kuliner,0,2007-09-13,15.153556101653107,67.18054987336366,jawa_barat
133,PT Siregar Yolanda  ,kania.yuliarti@susanti.biz,agribisnis,1,2015-08-14,27.475624511251503,4.478459345342902,jawa_tengah
134,UD Halim Salahudin,hutapea.ani@pertiwi.ac.id,agribisnis,1,2011-05-01,28.629624771458136,49.911819407821454,DKI_jakarta
135,PD Pudjiastuti Novitasari ,pyolanda@sihotang.com,fashion,1,2018-07-04,10.672101559830292,22.324505098066435,DKI_jakarta
136,PD Wijaya Hastuti  ,ahartati@hasanah.ac.id,kuliner,1,2007-02-09,12.840866057865009,63.376099394571014,DKI_jakarta
137,PD Nugroho Maheswara  ,silvia.uyainah@usada.sch.id,agribisnis,1,2019-07-24,48.46189837132028,4.800434837029538,jawa_tengah
138,PT Nuraini Padmasari ,yolanda.karman@zulkarnain.co.id,agribisnis,0,2017-09-25,24.899541057383875,65.62148368531659,DKI_jakarta
139,PT Wijayanti Suartini,widiastuti.ani@andriani.org,fashion,1,2006-12-14,66.92046219591454,58.902843785829404,jawa_timur
140,PT Aryani Firgant,shakila.suryatmi@oktaviani.tv,fashion,0,2010-02-18,18.352785773085714,9.743199220207632,jawa_timur
141, Pudjiastuti Saragih,damu41@rajata.web.id,kuliner,0,2011-02-27,8.474565208557268,5.804805752025189,jawa_barat
142,PT Nainggolan Manullang ,cemeti.iswahyudi@aryani.desa.id,kuliner,1,2016-02-22,53.16929156165761,58.71383932024318,DKI_jakarta
143,PT Prastuti Wasita  ,rnatsir@rajasa.com,fashion,1,2014-06-22,61.877141624952166,12.355133774144281,DKI_jakarta
144,UD Adriansyah  ,rmarpaung@sinaga.biz,kuliner,1,2017-11-22,20.709580007185192,38.24284588519244,jawa_barat
145,PT Pranowo Kuswandari ,haryanti.novi@pratama.com,fashion,0,2007-10-08,15.518575580353236,64.24705889595829,DKI_jakarta
146, Setiawan Pradana,ratih.nuraini@hastuti.in,agribisnis,1,2010-08-08,14.404111688997833,40.465357193147796,jawa_tengah
147,PD Utami  ,yhandayani@narpati.com,fashion,0,2009-01-18,37.36299993730546,28.84308982456443,jawa_barat
148,PT Yuliarti,tmaryadi@mustofa.my.id,agribisnis,1,2019-02-07,33.70348826432952,32.10569622543059,jawa_barat
149,PD Safitri,situmorang.lukman@mandasari.sch.id,agribisnis,1,2006-05-28,19.434552265267595,6.029640415660313,DKI_jakarta
150,PT Nashiruddin,qfirgantoro@setiawan.co.id,pengrajin_kulit,1,2012-04-30,4.804420428038034,67.86640850256997,jawa_barat
151,PD Palastri,banara02@suryatmi.sch.id,kuliner,1,2002-07-10,34.596228717478446,22.931467757336332,jawa_tengah
152, Dongoran Dabukke ,ykuswandari@hutagalung.web.id,pengrajin_kulit,1,2017-11-09,67.22321269655934,14.64973921142246,jawa_tengah
153,CV Maheswara  ,pfujiati@sihotang.my.id,pengrajin_kulit,0,2008-01-26,46.27401102739184,21.25130976966219,DKI_jakarta
154,PD Prakasa Yolanda,queen.firmansyah@pratama.go.id,fashion,0,2007-02-25,35.553187686602065,67.56740174719017,jawa_barat
155,CV Nashiruddin Prayoga ,ewasita@usada.biz.id,fashion,0,2012-03-29,9.27805481474219,8.157851732161118,DKI_jakarta
156, Narpati ,hesti.tarihoran@samosir.info,pengrajin_kulit,1,2010-06-23,18.956349918725817,60.939451605420665,jawa_timur
157,UD Prasasta ,zamira.yulianti@prasetya.go.id,agribisnis,0,2017-10-22,21.847165276949777,50.051581109730854,jawa_barat
158,CV Mangunsong  ,lulut.sitompul@fujiati.co.id,agribisnis,0,2011-02-28,53.940786572021956,58.39370955297844,jawa_timur
159, Laksmiwati ,prasetya86@ramadan.org,agribisnis,1,2010-11-09,61.581813237228204,68.35428405631995,jawa_timur
160,PT Farida Rahmawati,hwasita@oktaviani.info,fashion,1,2002-03-16,63.284105761516415,59.22231987869201,jawa_timur
161, Ardianto Permata,suyainah@handayani.info,agribisnis,1,2000-06-17,68.9463445713615,66.1341469452518,DKI_jakarta
162, Sirait Tampubolon,laksmiwati.padma@widiastuti.tv,kuliner,1,2008-05-15,68.79599712237747,10.387139333684003,jawa_timur
163,UD Puspita,wulandari.wirda@nuraini.sch.id,agribisnis,1,2020-12-18,66.79078078539777,56.05644322960072,DKI_jakarta
164,UD Hutagalung Pudjiastuti  ,harimurti.siregar@pertiwi.sch.id,kuliner,0,2019-04-07,6.624015753536945,38.97873639185394,jawa_barat
165,CV Sirait,yuniar.kasim@zulaika.my.id,kuliner,1,2013-03-17,11.12854263315054,38.82987923205289,jawa_barat
166,CV Astuti  ,flaksmiwati@marpaung.org,kuliner,1,2013-04-01,22.508974427783524,63.09836523116467,jawa_tengah
167,UD Hastuti Usada,raisa52@nasyidah.web.id,fashion,1,2008-03-22,39.471892787521426,68.07476473719744,DKI_jakarta
168,PT Pratama Mahendra,zizi.yuniar@hutagalung.info,pengrajin_kulit,0,2003-09-23,8.341650240810127,49.84636069738839,DKI_jakarta
169, Anggraini Suryatmi,silvia20@prakasa.tv,pengrajin_kulit,1,2000-03-06,59.47101627873029,34.69503323313341,DKI_jakarta
170, Mulyani ,qori.dabukke@winarno.net,agribisnis,1,2007-02-12,43.83211190739866,32.883255417538,jawa_timur
171,CV Salahudin Pertiwi,xmulyani@wahyudin.info,pengrajin_kulit,1,2006-08-24,38.75264138919455,28.099394699198854,jawa_timur
172, Palastri Waskita ,palastri.usyi@nuraini.info,kuliner,0,2004-01-09,13.00745715951864,26.409981739221404,DKI_jakarta
173, Yuniar Nasyidah,ikhsan88@hasanah.tv,fashion,1,2005-06-11,19.012283792045476,28.452087150212975,jawa_tengah
174,CV Laksita,kani99@lestari.desa.id,pengrajin_kulit,1,2000-07-09,12.66610506578858,7.848350902951613,jawa_timur
175,PD Sinaga ,palastri.ilsa@mansur.net,fashion,1,2012-10-07,59.88999601422885,7.007335901582721,jawa_timur
176, Riyanti Widiastuti  ,alika19@mandasari.asia,kuliner,0,2019-06-24,41.611078284979975,54.969512939601444,jawa_tengah
177,CV Maheswara Sirega,usyi90@sihombing.or.id,agribisnis,1,2014-07-05,51.914637311040565,32.17785712859304,jawa_tengah
178, Pranowo  ,jsuryono@oktaviani.my.id,pengrajin_kulit,1,2009-05-31,21.933123879496556,65.26713687782669,jawa_timur
179,PD Suartini,jagapati07@pertiwi.biz,agribisnis,0,2008-10-28,27.069130060387565,43.52245046679507,jawa_barat
180,PT Thamrin,wijayanti.febi@kusmawati.co.id,agribisnis,1,2006-06-17,29.363496971043727,4.12181606355218,DKI_jakarta
181,CV Budiman Siregar  ,agustina.gatot@maulana.info,kuliner,0,2002-12-28,53.613822270682704,12.4756937451575,jawa_timur
182,CV Puspasari Wijayanti,laras.mardhiyah@damanik.sch.id,agribisnis,1,2012-07-26,54.45626199841951,15.773375466928158,jawa_barat
183, Wahyudin Laksmiwati ,fsinaga@susanti.or.id,kuliner,0,2011-11-24,15.841227658658086,68.34325574532602,jawa_barat
184,PT Wahyuni  ,prasetya.hari@sudiati.info,agribisnis,1,2000-02-26,66.0082731380774,16.65312456163363,DKI_jakarta
185,PD Hasanah,zoktaviani@hutapea.net,pengrajin_kulit,1,2008-09-22,9.958346440654907,36.93579757694814,jawa_barat
186,PD Namaga Haryanti  ,purwanto.hutagalung@dongoran.co,pengrajin_kulit,1,2005-11-02,62.90721578788548,65.6421608923926,jawa_barat
187, Yuliarti Prabow,tina71@prastuti.com,pengrajin_kulit,1,2003-07-30,8.575014684968979,68.44271959855232,jawa_barat
188,PD Rajasa ,puspasari.hafshah@fujiati.info,agribisnis,1,2014-10-06,19.78277830541152,17.858690527988422,jawa_tengah
189,CV Mandasari  ,hidayat.hamzah@budiyanto.asia,fashion,0,2011-01-16,59.517554442720105,5.07375271525274,jawa_timur
190, Narpati  ,marbun.melinda@kurniawan.in,kuliner,0,2013-04-23,13.975718699790852,12.207933125678151,jawa_timur
191,CV Sudiati  ,usada.eli@permata.ac.id,agribisnis,1,2014-12-26,29.958418349844738,6.044068525810666,jawa_timur
192, Suartini Setiawan  ,akuswandari@hastuti.co.id,kuliner,1,2020-08-14,32.436393000184935,15.04308318178473,jawa_tengah
193,CV Farida Andriani,puji08@nashiruddin.sch.id,agribisnis,0,2016-11-09,18.466282678024754,40.54194011997105,jawa_tengah
194,UD Pranowo ,nmaryadi@oktaviani.ac.id,fashion,0,2013-01-10,50.21554234722116,64.02200381106643,DKI_jakarta
195,PT Purwanti Pertiwi  ,zelda61@prastuti.net,agribisnis,1,2018-06-17,59.849129861182476,38.40130537864953,jawa_timur
196,PD Hartati Mahendra ,makuta10@maryati.info,fashion,1,2010-01-10,61.43599054933844,44.462566931413235,jawa_tengah
197, Sihotang Astuti,kurnia.mansur@thamrin.desa.id,agribisnis,0,2020-09-06,24.88891611089238,15.503495939899468,jawa_barat
198,PT Yuliarti Novitasari,laksita.praba@maheswara.asia,pengrajin_kulit,0,2015-12-28,37.96646492197197,56.38384961961049,jawa_tengah
199,PT Latupono Mahendra,ssiregar@aryani.com,agribisnis,0,2013-09-01,18.681189255946684,43.90262667276122,jawa_barat
200,UD Pratiwi Wibison,karya.wasita@irawan.my.id,agribisnis,1,2018-12-21,18.43470512584393,60.72326269727925,jawa_tengah
201,PD Tamba Kuswandari  ,balijan75@widodo.biz,fashion,0,2010-10-26,12.73042741152938,66.50700734635494,jawa_tengah
202,CV Hidayat Fujiati,mmegantara@mahendra.asia,fashion,1,2015-02-19,65.9044980579371,25.47466496866012,jawa_timur
203,PD Dabukke Pradana,cornelia.suryatmi@yulianti.biz,agribisnis,0,2005-12-24,62.351877217189,7.904738116799798,DKI_jakarta
204,PT Maryadi Setiawan ,almira.riyanti@nasyidah.sch.id,fashion,0,2020-03-24,54.79805294601483,17.146429246557908,jawa_barat
205,PD Sant,diah.januar@pangestu.sch.id,agribisnis,1,2013-02-02,37.06592867352614,31.615822104346165,jawa_barat
206,PT Halimah Yuliarti  ,titi.winarsih@marbun.name,pengrajin_kulit,1,2016-06-03,35.21870847115061,66.29196254657504,jawa_barat
207,CV Rahayu  ,cfirgantoro@padmasari.sch.id,fashion,1,2009-09-04,37.89103408694096,27.55099467165679,DKI_jakarta
